obs_1,cluster_16
obs_2,cluster_6
obs_3,cluster_2
obs_4,cluster_12
obs_5,cluster_9
obs_6,cluster_0
obs_7,cluster_13
obs_8,cluster_10
obs_9,cluster_10
obs_10,cluster_0
obs_11,cluster_0
obs_12,cluster_6
obs_13,cluster_0
obs_14,cluster_0
obs_15,cluster_10
obs_16,cluster_10
obs_17,cluster_10
obs_18,cluster_10
obs_19,cluster_10
obs_20,cluster_10
obs_21,cluster_10
obs_22,cluster_13
obs_23,cluster_13
obs_24,cluster_13
obs_25,cluster_13
obs_26,cluster_13
obs_27,cluster_13
obs_28,cluster_13
obs_29,cluster_0
obs_30,cluster_0
obs_31,cluster_0
obs_32,cluster_3
obs_33,cluster_3
obs_34,cluster_12
obs_35,cluster_12
obs_36,cluster_3
obs_37,cluster_3
obs_38,cluster_3
obs_39,cluster_6
obs_40,cluster_6
obs_41,cluster_8
obs_42,cluster_6
obs_43,cluster_6
obs_44,cluster_6
obs_45,cluster_6
obs_46,cluster_6
obs_47,cluster_6
obs_48,cluster_3
obs_49,cluster_3
obs_50,cluster_3
obs_51,cluster_6
obs_52,cluster_6
obs_53,cluster_8
obs_54,cluster_8
obs_55,cluster_3
obs_56,cluster_3
obs_57,cluster_3
obs_58,cluster_6
obs_59,cluster_6
obs_60,cluster_6
obs_61,cluster_6
obs_62,cluster_6
obs_63,cluster_6
obs_64,cluster_6
obs_65,cluster_6
obs_66,cluster_3
obs_67,cluster_3
obs_68,cluster_3
obs_69,cluster_6
obs_70,cluster_3
obs_71,cluster_12
obs_72,cluster_13
obs_73,cluster_13
obs_74,cluster_10
obs_75,cluster_10
obs_76,cluster_10
obs_77,cluster_13
obs_78,cluster_13
obs_79,cluster_13
obs_80,cluster_10
obs_81,cluster_3
obs_82,cluster_3
obs_83,cluster_6
obs_84,cluster_6
obs_85,cluster_6
obs_86,cluster_6
obs_87,cluster_6
obs_88,cluster_6
obs_89,cluster_6
obs_90,cluster_6
obs_91,cluster_3
obs_92,cluster_3
obs_93,cluster_3
obs_94,cluster_3
obs_95,cluster_6
obs_96,cluster_3
obs_97,cluster_3
obs_98,cluster_6
obs_99,cluster_6
obs_100,cluster_6
